proxy,n_biased,N,seed,classes,bic_gain,max_gap_biased,max_gap_clean,flagged_biased,flagged_clean
1,0,3000,0,1,0.0,nan,0.0,0,0
1,0,3000,1,1,0.0,nan,0.0,0,0
1,0,3000,2,2,23.373,nan,0.9718,0,0
1,0,3000,3,1,0.0,nan,0.0,0,0
1,0,6000,0,2,73.377,nan,0.8039,0,0
1,0,6000,1,2,73.682,nan,0.8816,0,0
1,0,6000,2,2,102.55,nan,0.8803,0,0
1,0,6000,3,2,78.583,nan,0.9652,0,0
1,1,3000,0,1,0.0,0.0,0.0,0,0
1,1,3000,1,1,0.0,0.0,0.0,0,0
1,1,3000,2,2,5.557,0.4493,0.9969,0,0
1,1,3000,3,1,0.0,0.0,0.0,0,0
1,1,6000,0,2,72.635,0.8634,0.8858,0,0
1,1,6000,1,2,91.317,1.1457,0.9697,1,0
1,1,6000,2,2,101.052,1.0319,0.8421,1,0
1,1,6000,3,2,73.205,0.7532,0.9247,0,0
1,2,3000,0,2,85.983,2.5152,0.473,2,0
1,2,3000,1,2,90.922,2.0606,0.3614,2,0
1,2,3000,2,2,39.652,2.0596,0.4529,2,0
1,2,3000,3,2,48.404,2.5422,0.3414,2,0
1,2,6000,0,2,341.656,2.1597,0.5925,2,0
1,2,6000,1,2,290.7,2.0813,0.6119,2,0
1,2,6000,2,2,198.289,2.1321,0.5349,2,0
1,2,6000,3,2,187.515,1.996,0.607,2,0
0,0,3000,0,1,0.0,nan,0.0,0,0
0,0,3000,1,1,0.0,nan,0.0,0,0
0,0,3000,2,1,0.0,nan,0.0,0,0
0,0,3000,3,1,0.0,nan,0.0,0,0
0,0,6000,0,1,0.0,nan,0.0,0,0
0,0,6000,1,1,0.0,nan,0.0,0,0
0,0,6000,2,1,0.0,nan,0.0,0,0
0,0,6000,3,1,0.0,nan,0.0,0,0
0,1,3000,0,1,0.0,0.0,0.0,0,0
0,1,3000,1,1,0.0,0.0,0.0,0,0
0,1,3000,2,1,0.0,0.0,0.0,0,0
0,1,3000,3,1,0.0,0.0,0.0,0,0
0,1,6000,0,1,0.0,0.0,0.0,0,0
0,1,6000,1,1,0.0,0.0,0.0,0,0
0,1,6000,2,1,0.0,0.0,0.0,0,0
0,1,6000,3,1,0.0,0.0,0.0,0,0
0,2,3000,0,2,39.784,2.2561,0.2082,2,0
0,2,3000,1,2,50.256,2.0613,0.1439,2,0
0,2,3000,2,2,14.059,2.2337,0.2981,2,0
0,2,3000,3,2,8.299,1.8638,0.2793,2,0
0,2,6000,0,2,208.061,1.824,0.2589,2,0
0,2,6000,1,2,163.92,1.9445,0.2493,2,0
0,2,6000,2,2,70.873,1.9667,0.1357,2,0
0,2,6000,3,2,86.39,2.2915,0.2176,2,0
